SNo,Product,HSN,Pack,Qty,Free,MRP,Rate,GST%,Amount
64,FLICKDOX 50 DRY SYRUP,30049099,30ML,50.0,0.0,102.00,24.00,5.0,1200.00
65,FLICKDOX CV 100 DRY SYRUP,30042019,30ML,25.0,0.0,153.00,48.00,5.0,1200.00
66,LANZOTYLE 15 TAB,30049034,10X10,,,834.30,150.00,5.0,300.00
67,LEVONOBLE SYRUP,30049039,60ML,,,79.00,14.00,5.0,350.00
68,MONCLIP LC SYRUP,30049039,60ML,25.0,0.0,92.00,22.00,5.0,550.00
69,MOXYPLIT CV 228.5 DRY SYRUP,30041030,30ML,,,64.89,25.00,5.0,1250.00
70,MOXYPLIT CV 457 DRY SYRUP,30041030,30ML,,,149.00,38.00,5.0,950.00
71,RANILAIR SYRUP,30049033,100MOL,25.0,0.0,130.31,20.00,5.0,500.00
72,NUROSLIDE PLUS SOFTCAP,30049099,10X1X10,3.0,0.0,3656.00,510.00,5.0,1530.00
72,Add INS,997212,0.00,0.0,0.0,0.00,107.11,18.0,107.11
